location,behaviour,temperature,humidity,noise_db,light_intensity,motion_level
Traffic,stressed,32.43,67.96,63.81332107,768.6326092,9.11
Outdoor Campus,walking,25.84,80.38,62.75993351,588.6105937,6.34
Bedroom,sleeping,27.76,66.51,26.08846275,61.35044924,1.95
Cafeteria,eating,31.06,50.28,48.70018676,230.2772932,3.47
Study Room,studying,30.09,53.98,51.00919098,507.1611146,-1.04
Cafe,eating,27.59,65.79,65.1370859,468.7678739,3.68
Cafe,studying,30.37,60,32.31378106,311.331734,2.4
Study Room,studying,25.68,47.04,40.35633191,466.7782364,3.61
Crowded place,stressed,30.11,75.43,102.1088472,356.173754,5.02
Meeting Room,stressed,28.13,59.93,89.07643687,804.146018,9.21
Park,walking,29.13,71.63,99.04839013,650.3973602,5.8
Meeting Room,stressed,27.61,78.87,79.10702674,639.7222299,8.39
Outdoor Campus,walking,34.89,76.28,102.6622122,769.9794476,6.73
Crowded place,stressed,34.56,89.21,82.94362972,,7.12
Study Room,studying,25.89,45.82,53.31993301,607.4153491,0.99
Street,walking,35.29,63.45,62.85331684,477.5049735,9.87
Meeting Room,stressed,28.29,75.16,108.8487363,852.0644585,8.65
Dorm Room,sleeping,26.76,63.51,39.09941617,,-0.2
Dorm Room,sleeping,27.6,57.58,27.39264154,53.28463626,2.32
Street,walking,32.86,80.61,107.4642185,455.4387308,6.93
Library,studying,28.35,38.72,64.12345854,675.4389739,-0.51
Meeting Room,stressed,37.59,83.26,86.12217463,,7.02
Dorm Room,sleeping,23.13,65.33,27.21011305,,2.04
Outdoor Campus,walking,31.1,71.54,,612.5726121,8.19
Cafeteria,eating,34.13,77.11,55.21926243,409.0208502,4.14
Library,studying,25.69,43.14,30.67645734,504.0687735,2.01
Crowded place,walking,33.46,72.59,86.86280773,720.7380089,8.85
Street,walking,35.32,,60.08285249,920.9789893,7.17
Cafe,studying,25.66,58.05,23.28501889,591.7244185,0.6
Dorm Room,sleeping,26.15,75.71,29.81045506,99.31004312,1.93
Library,studying,29.87,40.42,22.95039652,303.5665915,1.94
Traffic,stressed,28.4,88,91.50207378,,8.96
Park,walking,36.85,68.91,51.61004598,703.2100403,9.62
Outdoor Campus,walking,28.72,64.02,105.9863709,614.6522822,8.74
Library,studying,27.15,60.54,26.35923948,511.978237,2.82
Dorm Room,sleeping,29.78,73.46,16.47711159,111.3978748,2.46
Dorm Room,sleeping,22.8,66.46,22.74702245,,1.73
Study Room,studying,22.3,52.55,41.78399311,674.2879314,2.86
Street,walking,28.32,65.39,62.90435369,815.0498849,10.92
Study Room,studying,30.27,57.4,34.04302006,628.2406963,4.19
Cafe,eating,31.81,49.47,94.14776986,663.472229,3.15
Dining Room,eating,33.05,62.74,91.68778262,394.2034515,4.65
Office,stressed,34.05,76.08,62.93135355,364.6289274,4.95
Crowded place,stressed,30.82,59.89,74.4933144,857.1592429,3.33
Cafe,studying,23.22,,22.40378894,553.0041313,3.1
Dining Room,eating,35.1,57.46,61.90238302,570.8228588,4.45
Outdoor Campus,walking,27.65,52.82,95.92255134,598.8231391,6.73
Cafe,studying,27.85,48.28,64.10097186,363.9617637,1.75
Office,stressed,30.6,89.48,74.98854942,687.4797399,4.15
Crowded place,stressed,35.23,80.98,69.17851086,803.4031472,9.67
