location,db_band,goal,bpm_min,bpm_max,energy_min,energy_max,mood,genre_primary,genre_secondary,vocal,playlist_seed,notes,search_query,search_url
library,0-35,active,105,115,0.6,0.75,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag,pop edm calm energetic workout music 105-115 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/pop%20edm%20calm%20energetic%20workout%20music%20105-115%20bpm%20-live%20-remix%20-karaoke%20-cover
library,36-50,active,108,118,0.63,0.78,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag,pop edm calm  108-118 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/pop%20edm%20calm%20intense%20workout%20music%20108-118%20bpm%20-live%20-remix%20-karaoke%20-cover
library,51-65,active,110,120,0.65,0.8,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to intense workout music100 and flag,pop edm calm intense workout music 110-120 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/pop%20edm%20calm%20intense%20workout%20music%20110-120%20bpm%20-live%20-remix%20-karaoke%20-cover
library,66-80,active,120,130,0.75,0.9,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag,pop edm calm intense workout music 120-130 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/pop%20edm%20calm%20intense%20workout%20music%20120-130%20bpm%20-live%20-remix%20-karaoke%20-cover
library,81-100,active,105,115,0.6,0.75,calm,pop,edm,light-vocal,Calm Pop Active,Input dB >100 is OUTLIER: clamp to 100 and flag,pop edm calm energetic workout music 105-115 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/pop%20edm%20calm%20energetic%20workout%20music%20105-115%20bpm%20-live%20-remix%20-karaoke%20-cover
library,0-35,focus,70,85,0.35,0.5,calm,lo-fi,instrumental hiphop,instrumental,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag,lo-fi instrumental hiphop instrumental calm mellow for focus 70-85 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/lo-fi%20instrumental%20hiphop%20instrumental%20calm%20mellow%20for%20focus%2070-85%20bpm%20-live%20-remix%20-karaoke%20-cover
library,36-50,focus,73,88,0.38,0.53,calm,lo-fi,instrumental hiphop,instrumental,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag,lo-fi instrumental hiphop instrumental calm mellow for focus 73-88 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/lo-fi%20instrumental%20hiphop%20instrumental%20calm%20mellow%20for%20focus%2073-88%20bpm%20-live%20-remix%20-karaoke%20-cover
library,51-65,focus,75,90,0.4,0.55,calm,lo-fi,instrumental hiphop,instrumental,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag,lo-fi instrumental hiphop instrumental calm mellow for focus 75-90 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/lo-fi%20instrumental%20hiphop%20instrumental%20calm%20mellow%20for%20focus%2075-90%20bpm%20-live%20-remix%20-karaoke%20-cover
library,66-80,focus,85,100,0.5,0.65,calm,lo-fi,instrumental hiphop,light-vocal,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag,lo-fi instrumental hiphop calm energetic for focus 85-100 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/lo-fi%20instrumental%20hiphop%20calm%20energetic%20for%20focus%2085-100%20bpm%20-live%20-remix%20-karaoke%20-cover
library,81-100,focus,70,85,0.35,0.5,calm,lo-fi,instrumental hiphop,instrumental,Calm Lo-Fi Focus,Input dB >100 is OUTLIER: clamp to 100 and flag,lo-fi instrumental hiphop instrumental calm mellow for focus 70-85 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/lo-fi%20instrumental%20hiphop%20instrumental%20calm%20mellow%20for%20focus%2070-85%20bpm%20-live%20-remix%20-karaoke%20-cover
library,0-35,relax,55,70,0.25,0.4,calm,jazz,acoustic,light-vocal,Calm Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag,jazz acoustic calm mellow to relax 55-70 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/jazz%20acoustic%20calm%20mellow%20to%20relax%2055-70%20bpm%20-live%20-remix%20-karaoke%20-cover
library,36-50,relax,58,73,0.28,0.43,calm,jazz,acoustic,light-vocal,Calm Jazz Relax,Input dB >100 is OUTLIER: clamp to 100 and flag,jazz acoustic calm mellow to relax 58-73 bpm -live -remix -karaoke -cover,https://open.spotify.com/search/jazz%20acoustic%20calm%20mellow%20to%20relax%2058-73%20bpm%20-live%20-remix%20-karaoke%20-cover
