query_id,gpt_query,intent_context,mean_sim,best_sim,p_at_k,hallucinated,top_examples
Q001,lofi study beats focus,"library, quiet, focus",0.3038,0.5231,0.0,True,"[{""rank"": 1, ""id"": ""4hs8q3NwLAMKuQsKJ2uP4n"", ""type"": ""track"", ""sim"": 0.5231, ""text"": ""Lofi Hip Hop for Studying - Deep Focus by Mood Smooth, Lo-Fi Hip Hop, Lo-fi Hip Hop Beats album Lo-Fi Hip Hop Beats - Lofi Chill Beats For Studying and Sleep""}, {""rank"": 2, ""id"": ""6zCID88oNjNv9zx6puDHKj"", ""type"": ""playlist"", ""sim"": 0.4897, ""text"": ""Lofi Study 2025 Lofi Study 2025 is a playlist composed of the best lofi hip hop music, perfect to accompany those long study or work sessions. <a href=\""https://bit.ly/lofi-sleep-spotify\"">Click here if""}, {""rank"": 3, ""id"": ""6cYJmEBABbiV2rXCjM1Qs2"", ""type"": ""track"", ""sim"": 0.3486, ""text"": ""New Look (Wii U Mii Maker Lofi Mix) by Secret Potion, Lofi Beats To Chill Study Sleep album New Look All Versions (Frutiger Aero)""}]"
Q002,instrumental concentration playlist,"co-warking, quiet, focus",0.3717,0.6752,0.3,True,"[{""rank"": 1, ""id"": ""2gS82YNV6lN7fUcZYiUxsZ"", ""type"": ""track"", ""sim"": 0.6752, ""text"": ""Focus Flow Lofi by Work Focus Playlist, Work Concentration Music, Music To Focus While Working, Instrumental Pop Music album Deep Focus Work Music Zone (Instrumental)""}, {""rank"": 2, ""id"": ""1bwVQamiYh5zYq8DEAbNpr"", ""type"": ""track"", ""sim"": 0.6699, ""text"": ""Empty Notebook by Work Focus Playlist, Work Concentration Music, Music To Focus While Working, Instrumental Pop Music album Quiet Office Jazz Lofi (Instrumental)""}, {""rank"": 3, ""id"": ""7eLeX8td9leHK7yadZ9D54"", ""type"": ""track"", ""sim"": 0.6416, ""text"": ""Warm Vinyl Lofi by Work Focus Playlist, Work Concentration Music, Music To Focus While Working, Instrumental Pop Music album Quiet Office Jazz Lofi (Instrumental)""}]"
Q003,chill cafe background for work,"cafe, moderate, focus",0.4948,0.5787,0.0,True,"[{""rank"": 1, ""id"": ""5LE1eqm6Xk0UkOGnKaTQCZ"", ""type"": ""track"", ""sim"": 0.5787, ""text"": ""Chill Cafe Background Lounge Music by HYGH Lofi Music, Neat Beats album Chill Lofi BGM Relaxing Music for Focus Study and Deep Work""}, {""rank"": 2, ""id"": ""7EMtRRqtLERjgTAhI6ekaK"", ""type"": ""track"", ""sim"": 0.5718, ""text"": ""Chill Cafe by Jazz Instrumental Chill album Jazz Chill Vibes""}, {""rank"": 3, ""id"": ""56X0ybJYqZ8O30I3Yqrc7L"", ""type"": ""playlist"", ""sim"": 0.5212, ""text"": ""Jazz for Work – Smooth Background Jazz & Cafe Music to Focus, Study & Stay Positive Smooth jazz to work and focus – cafe jazz playlist – jazz for productivity – chilled jazz for working – morning jazz""}]"
Q004,deep focus ambient sound,"home, silent, focus",0.5271,0.6772,0.4,True,"[{""rank"": 1, ""id"": ""5F12kscjfDmCmymjxJvqHG"", ""type"": ""track"", ""sim"": 0.6772, ""text"": ""Deep Focus Coding by Sound Experience album Peak Performance (Ambient Study Music for Coding & Focus) Part. 1""}, {""rank"": 2, ""id"": ""6NyuJC9fyMLXifhOjyVx2j"", ""type"": ""track"", ""sim"": 0.6731, ""text"": ""Ambient Sound Deep Focus by Manot album Study & Focus (White Noise for Study)""}, {""rank"": 3, ""id"": ""4ZS0dlIkAF4wZj1y6nI5A8"", ""type"": ""track"", ""sim"": 0.6169, ""text"": ""Ambient Focus Music by WorkFlow Music album Deep Focus Music""}]"
Q005,chillout jazz relax evening,"cafe, moderate, relax",0.6557,0.8041,0.6,False,"[{""rank"": 1, ""id"": ""0zCqATJr45qyX79ejOTaz2"", ""type"": ""track"", ""sim"": 0.8041, ""text"": ""Chillout Jazz by Dinner Jazz, Relaxing Evening Jazz, Study Jazz, Chill Background Jazz album Relaxing Reverie: Relaxing Jazz Mix""}, {""rank"": 2, ""id"": ""1UzxXf5e0D62jFcp2s2g6a"", ""type"": ""track"", ""sim"": 0.8014, ""text"": ""Evening Jazz Chill by Jazz Cafe Ambience, Afternoon Tea Jazz, Chillout Jazz album Classic Jazz Vibes for a Relaxing Night""}, {""rank"": 3, ""id"": ""09H5UL3WzFx9QL9i4D04Zg"", ""type"": ""track"", ""sim"": 0.7743, ""text"": ""Gentle Evening Wind by Relax Chillout Lounge, Relaxing Piano Jazz Music Ensemble, Chillout Lounge Relax album Music to Relax To""}]"
Q006,soft acoustic coffee break,"park, moderate, relax",0.5483,0.6517,0.4,True,"[{""rank"": 1, ""id"": ""3ZG8WTNgCZdWhEP0qwsemF"", ""type"": ""playlist"", ""sim"": 0.6517, ""text"": ""COFFEE BREAK heavy on the acoustic, soft of the ears by judes.lynch""}, {""rank"": 2, ""id"": ""7hNryk9v9LKMCwLNqUVDsw"", ""type"": ""track"", ""sim"": 0.6469, ""text"": ""Acoustic Coffeehouse Bliss by Morning Coffee Break Music album Soft Background Music - for Meditation""}, {""rank"": 3, ""id"": ""54Nf0Mo5fOy35sjD4zQTz0"", ""type"": ""track"", ""sim"": 0.6252, ""text"": ""Acoustic Coffeehouse Serenity by Morning Coffee Break Music album Soft Background Music - for Studying""}]"
Q007,relaxing piano background,"home, quiet, relax",0.5681,0.7258,0.7,True,"[{""rank"": 1, ""id"": ""1JJV0NBUC39Yw5Zbrs2SRN"", ""type"": ""track"", ""sim"": 0.7258, ""text"": ""Relaxing Piano by Cafe Music BGM channel album Piano Café ~Relaxing Jazz Piano Music~""}, {""rank"": 2, ""id"": ""3R8Kjmi0WqLqQLvYURTOqm"", ""type"": ""playlist"", ""sim"": 0.7218, ""text"": ""Calm Piano in the Background️🎼 Piano BGM📚 Perfect BGM for studying, working, sleeping or unwinding in peace #calm #relaxing #sleep #study #focus # peaceful by Helios Records""}, {""rank"": 3, ""id"": ""6eNNZ7VUQYot5xk2T0a2H2"", ""type"": ""track"", ""sim"": 0.6866, ""text"": ""Background Jazz Piano for Dining by Relaxing Jazz Piano for Restaurants album Dining Background Ambience""}]"
Q008,smooth rnb unwind,"co-warking, quiet, relax",0.3534,0.5053,0.0,True,"[{""rank"": 1, ""id"": ""3XRKUM8DXUGUA9POKEc350"", ""type"": ""playlist"", ""sim"": 0.5053, ""text"": ""k-rnb a journey through soulful korean rnb with smooth vocals and heartfelt lyrics. perfect for unwinding and relaxing. 𐙚 by 𐙚 ݁˖ . ݁""}, {""rank"": 2, ""id"": ""6DRNkgY1c7cwLh88nayWSM"", ""type"": ""track"", ""sim"": 0.4928, ""text"": ""RNB Smooth Chill Grooves by V on Tha Track album Silk & Soul R&B Vibes to Unwind""}, {""rank"": 3, ""id"": ""6lMqdkhwluyKxafyILETPU"", ""type"": ""track"", ""sim"": 0.4856, ""text"": ""Late Night Smooth RNB by V on Tha Track album Silk & Soul R&B Vibes to Unwind""}]"
Q009,calm sleep ambient,"home, silent, sleep",0.6236,0.7464,0.6,False,"[{""rank"": 1, ""id"": ""3ndo89a4dJ87sjRqKiDIlI"", ""type"": ""playlist"", ""sim"": 0.7464, ""text"": ""Ambient (Sleep & Relax) This ambient playlist is for peaceful sleep and deep relaxation. Struggling with insomnia or stress? Let calming sounds from Øneheart, reidenshi, Daniel.mp3, My head is empty, ""}, {""rank"": 2, ""id"": ""2aUq0SgRktCDV7LnUHLr8H"", ""type"": ""playlist"", ""sim"": 0.7, ""text"": ""Ambient Sleep Music - Relaxing sounds for a deep night rest 🌌 Drift into deep, peaceful sleep with Ambient Sleep Music 🌌✨. Designed to calm your mind, ease tension, and help you fall asleep fast, this""}, {""rank"": 3, ""id"": ""6bGe4ekNk4E4h9vVkuItul"", ""type"": ""playlist"", ""sim"": 0.6452, ""text"": ""Ambient Deep Sleep 2025 Soft, calming ambient music. Relaxing, soothing soundscapes for sleeping, stress relief, anxiety, recovery and peaceful moments. Sleep well and ease your mind. Música Para Dorm""}]"
Q010,rain sounds for sleeping,"home, quiet, sleep",0.6126,0.7862,0.6,False,"[{""rank"": 1, ""id"": ""0VIhxk3yhwg9y7PdknwQlk"", ""type"": ""track"", ""sim"": 0.7862, ""text"": ""Rain Sounds are for Sleeping by Rain is my Life album Rain Sounds are for Sleeping""}, {""rank"": 2, ""id"": ""7sOcihlC2dRgOfFGEaEYlB"", ""type"": ""track"", ""sim"": 0.7554, ""text"": ""Rain Sounds for Sleeping, Pt. 02 (Continuous No Gaps) by White Noise Radiance, Rain Sounds album 10 Hours of Continuous Rain Sounds for Sleeping""}, {""rank"": 3, ""id"": ""0TBaQaNdTsZ8lpMyNBn8t3"", ""type"": ""track"", ""sim"": 0.7541, ""text"": ""Rain Sounds for Sleeping, Pt. 01 (Continuous No Gaps) by White Noise Radiance, Rain Sounds album 10 Hours of Continuous Rain Sounds for Sleeping""}]"
